feature_set,overall_mae,fold_1_mae,fold_2_mae,fold_3_mae,fold_4_mae,fold_5_mae,overall_qlike,overall_directional_accuracy
price,0.016617841474475925,0.01311868223663531,0.01505004134585553,0.015609813039458105,0.022578686032875023,0.016916587606913353,0.8403628020004975,0.4876847290640394
price+finbert,0.016758820388306665,0.015590722902016883,0.014953595563145461,0.013609697667860368,0.022421528263471418,0.01745247784547144,0.9267323423536352,0.4876847290640394
price+news,0.019452529224508523,0.010016858659209696,0.03033228712538086,0.017718721889011937,0.022814030636756025,0.01596215928269246,1.0472652042639194,0.4876847290640394
price+all,0.01946455531752291,0.012887249969034377,0.02484993017724719,0.014265993416978177,0.02307639404371555,0.022806646777997333,1.1159095281244584,0.4876847290640394
